episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
1160, 20.6, -1.0, -1.0, -1, -1, 0.10909090909090909, 0.18701298701298702, 0.18441558441558442, 0.16623376623376623, 0.2, 0.15324675324675324
1180, 18.9, -1.0, -1.0, -1, -1, 0.14173228346456693, 0.14698162729658792, 0.15485564304461943, 0.2204724409448819, 0.12860892388451445, 0.2073490813648294
1200, 19.9, -1.0, -1.0, -1, -1, 0.1556122448979592, 0.1913265306122449, 0.15051020408163265, 0.18877551020408162, 0.14795918367346939, 0.16581632653061223
1220, 22.7, -1.0, -1.0, -1, -1, 0.16548463356973994, 0.14893617021276595, 0.14420803782505912, 0.2033096926713948, 0.16312056737588654, 0.17494089834515367
1240, 21.7, -1.0, -1.0, -1, -1, 0.17974683544303796, 0.17215189873417722, 0.1468354430379747, 0.16455696202531644, 0.15443037974683543, 0.18227848101265823
1260, 29.5, -1.0, -1.0, -1, -1, 0.15930599369085174, 0.17981072555205047, 0.1498422712933754, 0.22397476340694006, 0.17665615141955837, 0.11041009463722397
1280, 25.3, -1.0, -1.0, -1, -1, 0.1411764705882353, 0.19058823529411764, 0.1411764705882353, 0.18352941176470589, 0.1623529411764706, 0.1811764705882353
1300, 25.3, -1.0, -1.0, -1, -1, 0.1303538175046555, 0.18435754189944134, 0.15083798882681565, 0.21042830540037244, 0.1713221601489758, 0.1527001862197393
1320, 21.4, -1.0, -1.0, -1, -1, 0.16120218579234974, 0.17486338797814208, 0.16939890710382513, 0.15846994535519127, 0.14754098360655737, 0.1885245901639344
1340, 21.7, -1.0, -1.0, -1, -1, 0.15670103092783505, 0.17525773195876287, 0.1360824742268041, 0.2, 0.16494845360824742, 0.1670103092783505
1360, 17.8, -0.8, -1.0, -1, 1, 0.1319796954314721, 0.18527918781725888, 0.14720812182741116, 0.18274111675126903, 0.16751269035532995, 0.18527918781725888
1380, 26.1, -1.0, -1.0, -1, -1, 0.15843621399176955, 0.18724279835390947, 0.16049382716049382, 0.1934156378600823, 0.15020576131687244, 0.15020576131687244
1400, 15.7, -1.0, -1.0, -1, -1, 0.15124153498871332, 0.16478555304740405, 0.1489841986455982, 0.20090293453724606, 0.16930022573363432, 0.16478555304740405
1420, 25.6, -0.8, -1.0, -1, 1, 0.1346578366445916, 0.17880794701986755, 0.16335540838852097, 0.17880794701986755, 0.20309050772626933, 0.141280353200883
1440, 24.3, -1.0, -1.0, -1, -1, 0.13986013986013987, 0.17016317016317017, 0.15151515151515152, 0.18414918414918416, 0.17482517482517482, 0.1794871794871795
1460, 27.3, -1.0, -1.0, -1, -1, 0.14316239316239315, 0.202991452991453, 0.1346153846153846, 0.19658119658119658, 0.11965811965811966, 0.202991452991453
1480, 19.5, -1.0, -1.0, -1, -1, 0.1509433962264151, 0.1928721174004193, 0.14255765199161424, 0.18448637316561844, 0.16142557651991615, 0.16771488469601678
1500, 19.4, -1.0, -1.0, -1, -1, 0.13908872901678657, 0.19184652278177458, 0.15347721822541965, 0.19424460431654678, 0.17266187050359713, 0.1486810551558753
1520, 25.7, -0.8, -1.0, -1, 1, 0.15476190476190477, 0.19523809523809524, 0.12380952380952381, 0.18095238095238095, 0.18333333333333332, 0.1619047619047619
1540, 20.2, -0.8, -1.0, -1, 1, 0.14457831325301204, 0.1855421686746988, 0.1493975903614458, 0.20963855421686747, 0.14457831325301204, 0.16626506024096385
1560, 22.7, -1.0, -1.0, -1, -1, 0.15869565217391304, 0.17391304347826086, 0.13695652173913042, 0.18043478260869567, 0.1673913043478261, 0.1826086956521739
1580, 25.5, -1.0, -1.0, -1, -1, 0.15289256198347106, 0.1756198347107438, 0.1590909090909091, 0.18181818181818182, 0.15702479338842976, 0.17355371900826447
1600, 19.6, -1.0, -1.0, -1, -1, 0.1390593047034765, 0.16973415132924335, 0.19427402862985685, 0.17995910020449898, 0.1574642126789366, 0.15950920245398773
1620, 18.6, -1.0, -1.0, -1, -1, 0.15206185567010308, 0.18556701030927836, 0.14690721649484537, 0.20103092783505155, 0.16237113402061856, 0.15206185567010308
1640, 17.1, -0.8, -1.0, -1, 1, 0.16666666666666666, 0.16666666666666666, 0.1607843137254902, 0.1803921568627451, 0.17450980392156862, 0.15098039215686274
1660, 18.7, -1.0, -1.0, -1, -1, 0.12919896640826872, 0.1731266149870801, 0.17571059431524547, 0.18604651162790697, 0.16795865633074936, 0.16795865633074936
1680, 29.8, -1.0, -1.0, -1, -1, 0.17519685039370078, 0.18503937007874016, 0.15354330708661418, 0.1968503937007874, 0.15551181102362205, 0.13385826771653545
1700, 23.0, -0.8, -1.0, -1, 1, 0.1393643031784841, 0.17603911980440098, 0.12224938875305623, 0.21271393643031786, 0.20048899755501223, 0.1491442542787286
1720, 23.6, -1.0, -1.0, -1, -1, 0.13852813852813853, 0.18181818181818182, 0.19047619047619047, 0.20995670995670995, 0.12121212121212122, 0.15800865800865802
1740, 26.9, -1.0, -1.0, -1, -1, 0.17647058823529413, 0.18052738336713997, 0.1460446247464503, 0.2028397565922921, 0.13995943204868155, 0.15415821501014199
1760, 31.4, -1.0, -1.0, -1, -1, 0.13975155279503104, 0.17701863354037267, 0.14130434782608695, 0.2096273291925466, 0.16925465838509315, 0.16304347826086957
1780, 23.4, -0.8, -1.0, -1, 1, 0.1388235294117647, 0.1952941176470588, 0.16470588235294117, 0.19058823529411764, 0.15294117647058825, 0.15764705882352942
1800, 20.6, -1.0, -1.0, -1, -1, 0.13110539845758354, 0.20308483290488433, 0.13110539845758354, 0.20308483290488433, 0.17994858611825193, 0.15167095115681234
1820, 22.4, -1.0, -1.0, -1, -1, 0.15657620041753653, 0.17745302713987474, 0.12943632567849686, 0.18997912317327767, 0.16075156576200417, 0.18580375782881003
1840, 22.2, -1.0, -1.0, -1, -1, 0.1902654867256637, 0.1504424778761062, 0.17035398230088494, 0.16592920353982302, 0.168141592920354, 0.15486725663716813
1860, 25.2, -1.0, -1.0, -1, -1, 0.13883299798792756, 0.18309859154929578, 0.15492957746478872, 0.17706237424547283, 0.1750503018108652, 0.1710261569416499
1880, 21.6, -1.0, -1.0, -1, -1, 0.1262135922330097, 0.18932038834951456, 0.17233009708737865, 0.20631067961165048, 0.16019417475728157, 0.14563106796116504
1900, 19.5, -1.0, -1.0, -1, -1, 0.1187648456057007, 0.18052256532066507, 0.14726840855106887, 0.19714964370546317, 0.19002375296912113, 0.166270783847981
1920, 22.1, -1.0, -1.0, -1, -1, 0.14822546972860126, 0.17536534446764093, 0.14613778705636743, 0.18162839248434237, 0.18162839248434237, 0.16701461377870563
1940, 15.6, -1.0, -1.0, -1, -1, 0.10874200426439233, 0.14712153518123666, 0.1812366737739872, 0.19402985074626866, 0.18976545842217485, 0.1791044776119403
1960, 31.3, -1.0, -1.0, -1, -1, 0.13372093023255813, 0.1937984496124031, 0.1686046511627907, 0.1996124031007752, 0.16279069767441862, 0.14147286821705427
1980, 29.4, -1.0, -1.0, -1, -1, 0.1541501976284585, 0.1857707509881423, 0.16403162055335968, 0.23715415019762845, 0.1442687747035573, 0.11462450592885376
2000, 27.0, -1.0, -1.0, -1, -1, 0.13432835820895522, 0.18470149253731344, 0.15858208955223882, 0.19029850746268656, 0.14365671641791045, 0.1884328358208955
2020, 22.1, -1.0, -1.0, -1, -1, 0.14047619047619048, 0.1523809523809524, 0.1976190476190476, 0.1880952380952381, 0.16904761904761906, 0.1523809523809524
2040, 23.3, -1.0, -1.0, -1, -1, 0.15163934426229508, 0.19057377049180327, 0.14754098360655737, 0.2192622950819672, 0.14549180327868852, 0.14549180327868852
2060, 14.2, -1.0, -1.0, -1, -1, 0.16258351893095768, 0.1714922048997773, 0.1759465478841871, 0.16481069042316257, 0.16258351893095768, 0.16258351893095768
2080, 22.0, -1.0, -1.0, -1, -1, 0.15811088295687886, 0.24229979466119098, 0.13963039014373715, 0.15605749486652978, 0.16427104722792607, 0.13963039014373715
2100, 24.6, -1.0, -1.0, -1, -1, 0.1514476614699332, 0.2026726057906459, 0.133630289532294, 0.19376391982182628, 0.16926503340757237, 0.1492204899777283
2120, 22.8, -1.0, -1.0, -1, -1, 0.14285714285714285, 0.17794486215538846, 0.14786967418546365, 0.19047619047619047, 0.15789473684210525, 0.18295739348370926
2140, 22.0, -1.0, -1.0, -1, -1, 0.15764705882352942, 0.15294117647058825, 0.16705882352941176, 0.15529411764705883, 0.19294117647058823, 0.17411764705882352
2160, 28.9, -1.0, -1.0, -1, -1, 0.1210762331838565, 0.19955156950672645, 0.1547085201793722, 0.21748878923766815, 0.15022421524663676, 0.15695067264573992
2180, 17.7, -1.0, -1.0, -1, -1, 0.15616438356164383, 0.17534246575342466, 0.19726027397260273, 0.19452054794520549, 0.12876712328767123, 0.14794520547945206
2200, 15.1, -1.0, -1.0, -1, -1, 0.1360544217687075, 0.17006802721088435, 0.14965986394557823, 0.19727891156462585, 0.17687074829931973, 0.17006802721088435
2220, 23.5, -1.0, -1.0, -1, -1, 0.13043478260869565, 0.19130434782608696, 0.1565217391304348, 0.22608695652173913, 0.15434782608695652, 0.14130434782608695
2240, 20.3, -1.0, -1.0, -1, -1, 0.12359550561797752, 0.2, 0.1550561797752809, 0.2, 0.17303370786516853, 0.14831460674157304
2260, 25.5, -0.8, -1.0, -1, 1, 0.11900532859680284, 0.20959147424511546, 0.16873889875666073, 0.19715808170515098, 0.15808170515097691, 0.14742451154529307
2280, 26.6, -1.0, -1.0, -1, -1, 0.12810707456978968, 0.1988527724665392, 0.1739961759082218, 0.1988527724665392, 0.1739961759082218, 0.12619502868068833
2300, 18.4, -1.0, -1.0, -1, -1, 0.13695652173913042, 0.19130434782608696, 0.17608695652173914, 0.1891304347826087, 0.14565217391304347, 0.1608695652173913
2320, 24.5, -1.0, -1.0, -1, -1, 0.13765182186234817, 0.19433198380566802, 0.15991902834008098, 0.18218623481781376, 0.15991902834008098, 0.1659919028340081
2340, 19.1, -1.0, -1.0, -1, -1, 0.16195372750642673, 0.18251928020565553, 0.16195372750642673, 0.15681233933161953, 0.17737789203084833, 0.15938303341902313
2360, 26.4, -1.0, -1.0, -1, -1, 0.12412587412587413, 0.20804195804195805, 0.1555944055944056, 0.20279720279720279, 0.1590909090909091, 0.15034965034965034
2380, 16.0, -1.0, -1.0, -1, -1, 0.12931034482758622, 0.19540229885057472, 0.1752873563218391, 0.1839080459770115, 0.15804597701149425, 0.15804597701149425
2400, 16.8, -1.0, -1.0, -1, -1, 0.145, 0.18, 0.19, 0.1725, 0.1625, 0.15
2420, 33.3, -1.0, -1.0, -1, -1, 0.1414141414141414, 0.19528619528619529, 0.18181818181818182, 0.18518518518518517, 0.13468013468013468, 0.16161616161616163
2440, 24.3, -1.0, -1.0, -1, -1, 0.1353211009174312, 0.14678899082568808, 0.18577981651376146, 0.23623853211009174, 0.1720183486238532, 0.12385321100917432
2460, 18.9, -1.0, -1.0, -1, -1, 0.1162227602905569, 0.2469733656174334, 0.14285714285714285, 0.17433414043583534, 0.15012106537530268, 0.1694915254237288
2480, 18.3, -1.0, -1.0, -1, -1, 0.15406162464985995, 0.18207282913165265, 0.13725490196078433, 0.20168067226890757, 0.16246498599439776, 0.16246498599439776
2500, 26.9, -1.0, -1.0, -1, -1, 0.14049586776859505, 0.19834710743801653, 0.16115702479338842, 0.17148760330578514, 0.1652892561983471, 0.16322314049586778
2520, 25.6, -0.8, -1.0, -1, 1, 0.1437007874015748, 0.17913385826771652, 0.1830708661417323, 0.20866141732283464, 0.17716535433070865, 0.10826771653543307
2540, 19.0, -1.0, -1.0, -1, -1, 0.1273209549071618, 0.17771883289124668, 0.16445623342175067, 0.1962864721485411, 0.16180371352785147, 0.1724137931034483
2560, 27.6, -1.0, -1.0, -1, -1, 0.12525252525252525, 0.19393939393939394, 0.15555555555555556, 0.20606060606060606, 0.15555555555555556, 0.16363636363636364
2580, 20.7, -1.0, -1.0, -1, -1, 0.13793103448275862, 0.19827586206896552, 0.16666666666666666, 0.14655172413793102, 0.20114942528735633, 0.14942528735632185
2600, 21.3, -1.0, -1.0, -1, -1, 0.12468827930174564, 0.19950124688279303, 0.1571072319201995, 0.17955112219451372, 0.16458852867830423, 0.1745635910224439
2620, 23.1, -1.0, -1.0, -1, -1, 0.12931034482758622, 0.21982758620689655, 0.16810344827586207, 0.1724137931034483, 0.15948275862068967, 0.15086206896551724
2640, 31.5, -1.0, -1.0, -1, -1, 0.1480804387568556, 0.17550274223034734, 0.170018281535649, 0.20109689213893966, 0.16819012797074953, 0.13711151736745886
2660, 24.7, -1.0, -1.0, -1, -1, 0.16308243727598568, 0.21505376344086022, 0.17204301075268819, 0.15949820788530467, 0.14157706093189965, 0.14874551971326164
2680, 26.8, -1.0, -1.0, -1, -1, 0.14559386973180077, 0.210727969348659, 0.1724137931034483, 0.1896551724137931, 0.13409961685823754, 0.1475095785440613
2700, 21.5, -1.0, -1.0, -1, -1, 0.11475409836065574, 0.18969555035128804, 0.1686182669789227, 0.18969555035128804, 0.1686182669789227, 0.1686182669789227
2720, 22.5, -1.0, -1.0, -1, -1, 0.15157894736842106, 0.1957894736842105, 0.14526315789473684, 0.21894736842105264, 0.1431578947368421, 0.14526315789473684
2740, 21.7, -1.0, -1.0, -1, -1, 0.134, 0.196, 0.18, 0.178, 0.17, 0.142
2760, 29.3, -1.0, -1.0, -1, -1, 0.17083333333333334, 0.225, 0.15833333333333333, 0.17708333333333334, 0.14375, 0.125
2780, 16.2, -1.0, -1.0, -1, -1, 0.13656387665198239, 0.14977973568281938, 0.20704845814977973, 0.20484581497797358, 0.16079295154185022, 0.14096916299559473
2800, 29.2, -1.0, -1.0, -1, -1, 0.13291139240506328, 0.20253164556962025, 0.17405063291139242, 0.23575949367088608, 0.14082278481012658, 0.11392405063291139
2820, 23.9, -1.0, -1.0, -1, -1, 0.13742071881606766, 0.2029598308668076, 0.17547568710359407, 0.18816067653276955, 0.16279069767441862, 0.1331923890063425
2840, 20.2, -1.0, -1.0, -1, -1, 0.1154639175257732, 0.16288659793814433, 0.21649484536082475, 0.21237113402061855, 0.1134020618556701, 0.17938144329896907
2860, 33.3, -1.0, -1.0, -1, -1, 0.16363636363636364, 0.1787878787878788, 0.17727272727272728, 0.19545454545454546, 0.16818181818181818, 0.11666666666666667
2880, 20.0, -1.0, -1.0, -1, -1, 0.12285714285714286, 0.15714285714285714, 0.14, 0.20285714285714285, 0.20857142857142857, 0.16857142857142857
2900, 19.6, -1.0, -1.0, -1, -1, 0.1796116504854369, 0.18689320388349515, 0.1383495145631068, 0.19174757281553398, 0.14563106796116504, 0.15776699029126215
2920, 25.3, -1.0, -1.0, -1, -1, 0.1227364185110664, 0.17706237424547283, 0.2052313883299799, 0.2152917505030181, 0.14084507042253522, 0.13883299798792756
2940, 15.8, -1.0, -1.0, -1, -1, 0.14285714285714285, 0.18681318681318682, 0.1565934065934066, 0.17582417582417584, 0.18681318681318682, 0.1510989010989011
2960, 25.0, -1.0, -1.0, -1, -1, 0.15513126491646778, 0.162291169451074, 0.19331742243436753, 0.19809069212410502, 0.14081145584725538, 0.15035799522673032
2980, 30.0, -1.0, -1.0, -1, -1, 0.1532567049808429, 0.2049808429118774, 0.16666666666666666, 0.18773946360153257, 0.16283524904214558, 0.12452107279693486
3000, 24.0, -1.0, -1.0, -1, -1, 0.1532258064516129, 0.1774193548387097, 0.19153225806451613, 0.16330645161290322, 0.17137096774193547, 0.1431451612903226
3020, 33.4, -1.0, -1.0, -1, -1, 0.17733990147783252, 0.2019704433497537, 0.14942528735632185, 0.1839080459770115, 0.14614121510673234, 0.1412151067323481
3040, 23.0, -1.0, -1.0, -1, -1, 0.15841584158415842, 0.19306930693069307, 0.16584158415841585, 0.1707920792079208, 0.15594059405940594, 0.15594059405940594
3060, 24.4, -1.0, -1.0, -1, -1, 0.1643002028397566, 0.18052738336713997, 0.16024340770791076, 0.1926977687626775, 0.15010141987829614, 0.15212981744421908
3080, 23.3, -1.0, -1.0, -1, -1, 0.15217391304347827, 0.1570048309178744, 0.1642512077294686, 0.21739130434782608, 0.1570048309178744, 0.15217391304347827
3100, 32.6, -1.0, -1.0, -1, -1, 0.14102564102564102, 0.16483516483516483, 0.184981684981685, 0.19963369963369965, 0.1684981684981685, 0.14102564102564102
3120, 37.1, -1.0, -1.0, -1, -1, 0.15051903114186851, 0.15397923875432526, 0.1903114186851211, 0.2041522491349481, 0.17474048442906576, 0.12629757785467127
3140, 21.0, -1.0, -1.0, -1, -1, 0.125, 0.18566176470588236, 0.19852941176470587, 0.18566176470588236, 0.17095588235294118, 0.13419117647058823
3160, 33.6, -1.0, -1.0, -1, -1, 0.15307820299500832, 0.1913477537437604, 0.16139767054908485, 0.18302828618968386, 0.17637271214642264, 0.13477537437603992
3180, 23.4, -1.0, -1.0, -1, -1, 0.13438735177865613, 0.16205533596837945, 0.19960474308300397, 0.16798418972332016, 0.1857707509881423, 0.15019762845849802
3200, 21.6, -1.0, -1.0, -1, -1, 0.14383561643835616, 0.1689497716894977, 0.19406392694063926, 0.182648401826484, 0.17579908675799086, 0.13470319634703196
3220, 20.9, -1.0, -1.0, -1, -1, 0.15261044176706828, 0.15863453815261044, 0.19076305220883535, 0.20080321285140562, 0.14457831325301204, 0.15261044176706828
3240, 31.0, -0.8, -1.0, -1, 1, 0.16026711185308848, 0.21869782971619364, 0.18530884808013356, 0.15692821368948248, 0.17362270450751252, 0.10517529215358931
3260, 22.4, -1.0, -1.0, -1, -1, 0.14412416851441243, 0.188470066518847, 0.22172949002217296, 0.2039911308203991, 0.12416851441241686, 0.11751662971175167
3280, 21.4, -1.0, -1.0, -1, -1, 0.12020460358056266, 0.21483375959079284, 0.1867007672634271, 0.15601023017902813, 0.17391304347826086, 0.1483375959079284
3300, 24.7, -1.0, -1.0, -1, -1, 0.1359026369168357, 0.18661257606490872, 0.18864097363083165, 0.20486815415821502, 0.15010141987829614, 0.13387423935091278
3320, 23.9, -1.0, -1.0, -1, -1, 0.14439655172413793, 0.16594827586206898, 0.17456896551724138, 0.1810344827586207, 0.19827586206896552, 0.13577586206896552
3340, 28.4, -1.0, -1.0, -1, -1, 0.15587044534412955, 0.17813765182186234, 0.1396761133603239, 0.22267206477732793, 0.18421052631578946, 0.1194331983805668
3360, 24.8, -1.0, -1.0, -1, -1, 0.14608695652173914, 0.20521739130434782, 0.16695652173913045, 0.18434782608695652, 0.16, 0.1373913043478261
3380, 17.0, -1.0, -1.0, -1, -1, 0.15306122448979592, 0.13520408163265307, 0.16326530612244897, 0.19642857142857142, 0.1989795918367347, 0.15306122448979592
